Time ,Open,High,Low,Close,Change,Volume
2018-04-26,146.60,147.36,146.20,146.72,0.78,4265800
2018-04-25,145.79,146.40,144.11,145.94,0.38,7326300
2018-04-24,146.51,147.30,144.53,145.56,-0.30,4916400
2018-04-23,145.03,145.96,144.33,145.86,0.96,5315600
2018-04-20,147.90,147.97,144.51,144.90,-2.80,8265600
2018-04-19,149.19,149.21,146.62,147.70,-1.09,8086000
2018-04-18,152.14,152.63,148.26,148.79,-12.12,20381600
2018-04-17,158.82,162.00,158.51,160.91,3.02,10207500
2018-04-16,157.99,159.14,157.67,157.89,1.18,4186700
2018-04-13,158.67,159.22,155.91,156.71,-1.36,4057000
2018-04-12,156.75,158.98,156.67,158.07,2.71,5639400
2018-04-11,154.37,155.78,153.88,155.36,-0.03,3306500
2018-04-10,155.03,156.61,154.75,155.39,2.70,3955900
2018-04-09,151.80,154.66,151.74,152.69,2.12,4413100
2018-04-06,153.46,153.95,149.54,150.57,-3.46,3672900
2018-04-05,154.44,154.92,153.34,154.03,-0.09,3185300
2018-04-04,147.89,154.47,147.45,154.12,4.27,4805200
2018-04-03,150.80,151.00,148.30,149.85,-0.22,4135600
2018-04-02,153.34,153.38,148.43,150.07,-3.36,5150400
2018-03-29,153.07,153.89,151.08,153.43,0.91,3419900
2018-03-28,152.07,153.86,151.89,152.52,0.61,3664800
2018-03-27,153.95,154.87,151.16,151.91,-1.46,3883700
2018-03-26,151.21,153.66,150.28,153.37,4.48,4103900
2018-03-23,152.25,152.58,148.54,148.89,-3.20,4440800
2018-03-22,155.00,155.25,152.00,152.09,-4.60,4746300
2018-03-21,156.57,158.20,155.92,156.69,0.49,3482100
2018-03-20,157.52,157.93,155.29,156.20,-1.15,4336700
2018-03-19,159.71,159.89,156.45,157.35,-2.91,5481900
2018-03-16,160.06,161.98,159.64,160.26,0.65,9262600
2018-03-15,158.71,161.25,158.52,159.61,1.49,3870500
2018-03-14,160.17,160.68,157.74,158.12,-1.20,3631800
2018-03-13,160.09,162.11,158.81,159.32,-0.94,4185500
2018-03-12,159.64,161.02,158.87,160.26,0.95,5063400
2018-03-09,157.47,159.58,157.30,159.31,3.10,5022200
2018-03-08,159.00,159.57,155.07,156.21,-2.11,6455600
2018-03-07,155.00,158.83,154.73,158.32,2.60,4607600
2018-03-06,157.28,157.89,155.16,155.72,-1.23,3685700
2018-03-05,154.12,157.49,153.75,156.95,2.46,3670600
2018-03-02,152.79,154.76,151.88,154.49,0.68,3261100
2018-03-01,155.53,156.97,152.79,153.81,-2.02,4039300
2018-02-28,157.50,158.14,155.80,155.83,-0.72,3803500
2018-02-27,158.46,159.78,156.53,156.55,-2.03,4237200
2018-02-26,155.81,158.88,155.51,158.58,3.06,3610200
2018-02-23,154.30,155.86,154.07,155.52,2.34,3256000
2018-02-22,154.50,155.04,152.79,153.18,-0.78,4024600
2018-02-21,155.43,156.79,153.90,153.96,-1.20,3728500
2018-02-20,155.79,155.96,153.87,155.16,-1.02,4489600
2018-02-16,155.71,157.79,155.69,156.18,0.17,4282900
2018-02-15,155.50,156.86,153.70,156.01,1.25,5623500
2018-02-14,150.19,155.00,150.00,154.76,4.01,5479000
2018-02-13,150.90,151.18,149.64,150.75,-0.65,4891000
2018-02-12,150.90,152.40,150.30,151.40,1.89,5881300
2018-02-09,148.60,150.54,144.40,149.51,1.92,7828200
2018-02-08,152.48,153.16,147.50,147.59,-6.26,6779000
2018-02-07,154.17,155.34,153.28,153.85,-1.49,6149200
2018-02-06,150.29,155.49,149.11,155.34,2.81,9867600
2018-02-05,157.89,158.50,150.00,152.53,-6.50,8746500
2018-02-02,161.70,162.00,158.87,159.03,-3.37,5251900
2018-02-01,163.19,164.13,161.90,162.40,-1.30,4434200
2018-01-31,163.75,164.99,162.76,163.70,0.08,4072800
2018-01-30,166.21,166.77,163.16,163.62,-3.18,4902300
2018-01-29,167.45,168.39,166.01,166.80,-0.54,3516900
2018-01-26,166.12,167.41,165.79,167.34,1.87,3787900
2018-01-25,165.91,166.78,165.19,165.47,0.10,3302500
2018-01-24,166.75,168.72,164.82,165.37,-0.88,5645000
2018-01-23,162.82,166.26,162.51,166.25,3.65,7466200
2018-01-22,161.51,163.98,161.11,162.60,0.23,8480700
2018-01-19,164.46,165.40,161.30,162.37,-6.75,21172400
2018-01-18,170.00,171.13,168.15,169.12,0.47,14259300
2018-01-17,168.01,169.13,167.26,168.65,4.80,11710000
2018-01-16,165.10,165.29,163.35,163.85,0.71,7794100
2018-01-12,164.02,164.74,163.03,163.14,-1.06,5031800
2018-01-11,164.80,164.94,163.30,164.20,0.02,3794400
2018-01-10,162.91,164.33,162.50,164.18,0.35,4174100
2018-01-09,163.90,164.53,163.06,163.83,0.36,4341800
2018-01-08,162.66,163.91,161.70,163.47,0.98,5237500
2018-01-05,162.44,162.90,161.10,162.49,0.79,5195700
